Year,Month,IndexNumber,ChangePreviousQRT_(%),ChangePreviousQRTYear_(%),CapitalCity
1999,3,66.4,-0.2,0.8,Brisbane
1999,6,66.6,0.3,0.6,Brisbane
1999,9,67.1,0.8,1.2,Brisbane
1999,12,67.1,0,0.9,Brisbane
2000,3,67.9,1.2,2.3,Brisbane
2000,6,68.3,0.6,2.6,Brisbane
2000,9,71,4,5.8,Brisbane
2000,12,71.2,0.3,6.1,Brisbane
2001,3,71.8,0.8,5.7,Brisbane
2001,6,72.5,1,6.1,Brisbane
2001,9,72.6,0.1,2.3,Brisbane
2001,12,73.5,1.2,3.2,Brisbane
2002,3,74.2,1,3.3,Brisbane
2002,6,74.7,0.7,3,Brisbane
2002,9,75.3,0.8,3.7,Brisbane
2002,12,75.7,0.5,3,Brisbane
2003,3,76.7,1.3,3.4,Brisbane
2003,6,76.7,0,2.7,Brisbane
2003,9,77.5,1,2.9,Brisbane
2003,12,78,0.6,3,Brisbane
2004,3,78.7,0.9,2.6,Brisbane
2004,6,79.1,0.5,3.1,Brisbane
2004,9,79.4,0.4,2.5,Brisbane
2004,12,80,0.8,2.6,Brisbane
2005,3,80.7,0.9,2.5,Brisbane
2005,6,81.1,0.5,2.5,Brisbane
2005,9,81.6,0.6,2.8,Brisbane
2005,12,82.3,0.9,2.9,Brisbane
2006,3,83,0.9,2.9,Brisbane
2006,6,84.5,1.8,4.2,Brisbane
2006,9,85.2,0.8,4.4,Brisbane
2006,12,85.1,-0.1,3.4,Brisbane
2007,3,85.5,0.5,3,Brisbane
2007,6,86.7,1.4,2.6,Brisbane
2007,9,87.5,0.9,2.7,Brisbane
2007,12,88.4,1,3.9,Brisbane
2008,3,89.6,1.4,4.8,Brisbane
2008,6,91.1,1.7,5.1,Brisbane
2008,9,92.4,1.4,5.6,Brisbane
2008,12,92.2,-0.2,4.3,Brisbane
2009,3,92.4,0.2,3.1,Brisbane
2009,6,92.9,0.5,2,Brisbane
2009,9,94.2,1.4,1.9,Brisbane
2009,12,94.5,0.3,2.5,Brisbane
2010,3,95.2,0.7,3,Brisbane
2010,6,95.9,0.7,3.2,Brisbane
2010,9,96.9,1,2.9,Brisbane
2010,12,97.4,0.5,3.1,Brisbane
2011,3,98.6,1.2,3.6,Brisbane
2011,6,99.6,1,3.9,Brisbane
2011,9,99.9,0.3,3.1,Brisbane
2011,12,99.7,-0.2,2.4,Brisbane
2012,3,99.9,0.2,1.3,Brisbane
2012,6,100.5,0.6,0.9,Brisbane
2012,9,101.6,1.1,1.7,Brisbane
2012,12,101.9,0.3,2.2,Brisbane
2013,3,102,0.1,2.1,Brisbane
2013,6,102.5,0.5,2,Brisbane
2013,9,103.8,1.3,2.2,Brisbane
2013,12,104.6,0.8,2.6,Brisbane
2014,3,105.2,0.6,3.1,Brisbane
2014,6,105.8,0.6,3.2,Brisbane
2014,9,106.5,0.7,2.6,Brisbane
2014,12,106.7,0.2,2,Brisbane
2015,3,106.7,0,1.4,Brisbane
2015,6,107.4,0.7,1.5,Brisbane
2015,9,108.1,0.7,1.5,Brisbane
2015,12,108.5,0.4,1.7,Brisbane
2016,3,106.7,0,1.4,Brisbane
2016,6,107.4,0.7,1.5,Brisbane
2016,9,108.1,0.7,1.5,Brisbane
2016,12,108.5,0.4,1.7,Brisbane
2017,3,110.5,0.3,1.8,Brisbane
2017,6,111,0.5,1.8,Brisbane